,Product_ID,Average_rating,Minimum_ratings,Maximum_rating,ONE_Star_Rating,TWO_Star_Rating,THREE_Star_Rating,FOUR_Star_Rating,FIVE_Star_Rating,Total_ratings
97,B0009T6AF6,5,5,5,1,1,1,2,3,2
98,B0009W8DL2,3,2,5,1,3,1,2,2,9
99,B0009W8DLC,3,1,5,1,3,1,1,20,13
100,B000A1329U,3,1,5,1,1,1,2,3,16
101,B000A36LQ4,5,5,5,1,2,1,1,1,8
102,B000A3OLZC,2,1,4,6,1,1,2,3,3
103,B000A3UPVG,5,5,5,3,1,1,1,6,3
104,B000A6KMTI,2,1,5,1,1,1,2,4,21
105,B000A7ZWQK,4,4,5,11,1,3,2,5,23
106,B000AXEJBI,3,1,5,3,2,1,1,1,6
107,B000AZ1LIK,3,1,5,2,1,2,4,2,3
108,B000BBAKWQ,3,1,5,1,1,1,1,3,11
109,B000BBCTJ8,3,1,5,1,1,2,3,1,17
110,B000BBE9C8,3,2,5,1,3,2,1,3,12
111,B000BDDSYQ,4,1,5,1,2,1,2,1,10
112,B000BF109O,3,1,5,3,5,1,4,17,4
113,B000BH9V0M,3,2,5,3,1,1,1,1,5
114,B000BHAUSE,5,5,5,1,4,6,1,4,3
115,B000BI4KKM,2,1,5,1,1,2,1,1,4
116,B000BK1QSE,3,1,5,1,2,3,2,2,7
117,B000BKY99W,3,2,5,3,1,5,2,3,4
118,B000BPCUXO,4,1,5,1,1,1,3,4,19
119,B000BYPMRG,3,3,5,2,1,2,5,15,6
120,B000C1DOU0,4,4,5,2,1,1,1,6,6
121,B000C4VJM2,4,4,5,2,3,2,16,2,3
122,B000CC9OJO,4,3,5,2,1,4,2,2,3
123,B000CCQ1UE,4,1,5,2,1,4,3,4,5
124,B000CQVMYK,3,1,5,1,2,1,1,1,8
125,B000CQXHOS,3,1,5,1,1,4,5,7,35
126,B000DILL8E,4,4,5,6,2,1,3,1,8
127,B000DLAMPO,4,2,5,1,1,1,2,3,7
128,B000E14G7S,3,1,5,8,1,1,5,2,5
129,B000E6MFXA,1,1,4,1,3,1,1,2,8
130,B000E6MJW2,4,1,5,1,1,1,1,3,9
131,B000E7T7JO,4,3,5,4,1,2,2,11,4
132,B000E7UFIG,4,4,5,1,1,1,1,2,8
133,B000E84CQQ,3,2,5,1,1,3,5,4,3
134,B000E95OAI,2,1,4,1,1,1,3,3,7
135,B000EF3D4G,3,3,4,1,3,3,1,7,4
136,B000EFVGV8,4,3,5,6,1,4,2,2,4
137,B000EGT1S2,4,3,5,2,3,1,2,2,4
138,B000EIVOD0,3,2,5,1,1,6,2,2,6
139,B000EIXG7C,2,1,4,2,1,1,2,2,3
140,B000ELUXIO,4,4,5,2,4,1,5,1,5
141,B000EM2O2G,4,4,5,1,1,5,2,4,12
142,B000EM6MQ0,3,2,5,1,4,2,2,11,6
143,B000EM8REU,4,2,5,1,1,1,1,2,8
144,B000EUHEIM,4,4,5,1,2,2,1,15,4
145,B000EYTBOS,3,1,5,8,1,2,1,1,14
146,B000F1TL86,2,1,5,1,2,2,1,7,5
147,B000F36FNS,4,3,5,1,2,4,1,2,4
148,B000F7VBUQ,3,1,5,1,4,2,1,3,4
149,B000F936N4,4,2,5,4,1,1,2,2,6
150,B000FCCDTO,2,1,5,1,2,1,4,3,5
151,B000FEHG76,4,4,5,1,1,1,2,2,5
152,B000FFLYBY,4,1,5,1,1,3,1,3,16
153,B000FG5QBW,2,1,5,2,4,1,3,1,5
154,B000FHBEFS,4,2,5,1,2,3,1,8,22
155,B000FHBS36,4,3,5,1,1,1,7,30,3
156,B000FHQ3YK,4,3,5,3,1,2,1,11,8
157,B000FITJ36,3,1,5,5,1,2,2,1,6
158,B000FL2DMC,3,1,5,2,1,1,3,4,9
159,B000FOFRSG,2,2,2,1,1,1,3,2,2
160,B000FSTKZ8,4,4,5,3,2,1,1,5,4
161,B000FYU4SO,3,1,5,3,7,1,3,17,9
162,B000FYUYT8,3,1,5,1,1,2,1,4,8
163,B000G2TLIO,4,2,5,2,2,2,2,17,10
164,B000G6UE2W,3,1,5,1,2,1,1,5,3
165,B000G7LZCO,4,1,5,7,3,4,2,4,11
166,B000GAO9T2,3,1,5,2,1,2,1,1,63
167,B000GAZPZE,4,1,5,4,1,1,1,1,20
168,B000GBD492,2,1,5,5,2,1,3,3,14
169,B000GCK7X2,4,3,5,4,13,1,2,6,5
170,B000GJS3YK,3,1,5,4,1,1,1,3,6
171,B000GUKT9Q,3,1,5,3,4,2,3,2,16
172,B000GX448K,4,3,5,1,1,2,1,1,21
173,B000GX9D9K,3,1,5,2,1,1,2,2,14
174,B000H13M2K,4,2,5,2,1,1,1,2,24
175,B000H163JE,4,4,5,5,1,3,2,6,6
176,B000H2451G,4,3,5,2,1,1,2,1,5
177,B000H3QHT8,4,4,4,1,1,1,13,2,1
178,B000H7G0RI,3,1,5,2,9,1,3,3,5
179,B000H7GVA4,3,2,5,1,7,1,3,5,2
180,B000H96IK0,4,4,5,2,5,1,3,4,4
181,B000HBMP82,3,1,5,1,1,2,2,2,16
182,B000HBMP9Q,4,1,5,4,2,2,1,1,7
183,B000HBOE5O,3,1,5,1,1,2,1,3,6
184,B000HBPMV4,4,3,5,1,1,1,1,1,4
185,B000HBPMVY,2,1,4,1,1,5,3,4,6
186,B000HCQKTG,3,2,5,14,1,2,2,1,6
187,B000HD4N3U,3,1,5,1,1,2,2,3,6
188,B000HD79J0,3,1,5,5,1,3,2,5,16
189,B000HDZA28,4,4,5,2,2,6,1,2,3
190,B000HJC56G,2,2,3,2,1,1,17,1,2
191,B000I1D2M4,3,1,5,2,3,1,1,3,5
192,B000I5JJC2,4,2,5,1,1,2,5,2,7
193,B000I5SOEQ,4,2,5,1,1,1,3,33,7
194,B000I8ACMU,2,1,5,2,3,4,2,1,10
195,B000I8ELI6,3,2,5,2,1,2,4,3,5
196,B000I8FHH0,4,4,5,21,1,1,2,11,2
197,B000I8HCZ0,4,4,5,24,1,2,1,12,4
198,B000IAAW3M,3,2,5,1,1,5,1,12,5
199,B000IBRXY2,2,2,2,1,2,1,1,2,1
200,B000ID10JE,3,1,5,1,1,1,1,8,10
201,B000IEAZ1M,4,3,5,1,2,2,3,5,4
202,B000IEB00W,4,2,5,1,1,2,2,5,8
203,B000IEB034,5,5,5,1,1,4,2,4,5
204,B000IEDI66,4,4,5,1,4,1,8,1,4
205,B000IIFRUW,2,2,4,1,1,8,1,5,4
206,B000IN048C,3,1,5,1,4,1,1,1,3
207,B000IN1ZPI,4,4,5,1,1,3,4,6,6
208,B000IN4JNI,4,2,5,1,1,5,5,4,4
209,B000IN5ZHM,3,1,5,1,1,1,1,2,58
210,B000IN6MDI,3,3,5,3,1,2,3,7,3
211,B000ITR7QS,4,4,5,3,1,1,1,3,4
212,B000IXNEI4,3,1,5,2,1,2,1,3,19
213,B000IXP96Y,4,1,5,4,4,1,1,6,19
214,B000IZCUTQ,4,1,5,2,1,1,3,2,14
215,B000J1HR42,5,5,5,3,1,1,1,1,2
216,B000J2XZ1K,3,1,5,1,1,1,5,6,14
217,B000J4HCBM,3,1,5,1,1,1,1,1,13
218,B000J4YU3A,3,1,5,1,1,6,14,4,12
219,B000J6EXTY,3,1,5,1,1,4,2,14,8
220,B000J6FWTO,3,2,5,1,2,4,1,4,10
221,B000JD09P4,3,1,5,1,4,8,1,1,14
222,B000JD57DS,3,1,5,1,1,1,2,1,5
223,B000JHKU72,3,1,5,1,2,1,7,10,12
224,B000JIJ5LI,4,2,5,1,1,2,12,4,6
225,B000JL35SO,3,1,5,1,2,3,1,7,3
226,B000JL4Y3Y,3,1,5,1,2,2,2,9,12
227,B000JLC3PK,3,1,5,2,1,1,1,4,5
228,B000JOM3KC,3,1,5,4,2,1,4,2,7
229,B000JUQ3XY,4,4,5,1,1,1,1,2,7
230,B000JV246S,4,3,5,3,1,2,5,1,4
231,B000JWIZH4,4,4,5,2,1,5,2,3,4
232,B000JWJG7W,2,1,4,1,2,2,1,11,4
233,B000K2F1N4,2,1,4,1,2,1,1,1,5
234,B000K52DVY,3,1,5,1,1,7,1,5,13
235,B000K6CN9K,4,3,5,7,20,1,1,2,3
236,B000K8S1I0,5,5,5,1,6,1,3,4,4
237,B000KBFX6K,4,1,5,3,1,1,3,3,21
238,B000KEEQA6,4,4,5,4,8,4,1,1,5
239,B000KHF7ZQ,3,1,5,1,1,2,1,3,5
240,B000KIHEQ0,2,2,3,1,1,2,1,4,4
241,B000KJS8CI,3,2,5,1,1,1,7,45,7
242,B000KKKI0M,4,1,5,1,4,1,4,8,29
243,B000KNJEV8,2,1,5,3,1,1,4,2,22
244,B000KNLG3M,4,1,5,2,1,2,2,7,13
245,B000KNNKVS,3,1,5,5,2,2,3,1,30
246,B000KO1GKY,4,1,5,1,1,1,7,1,7
247,B000KVWNR2,4,3,5,1,1,2,1,5,3
248,B000LAD42A,3,1,5,1,1,2,1,1,5
249,B000LDTGQK,3,2,5,1,1,1,1,1,5
250,B000LG29E8,4,4,5,1,1,2,2,3,4
251,B000LG8BDQ,3,1,5,1,1,6,2,1,24
252,B000LGBZR0,3,1,5,3,3,1,1,6,4
253,B000LGD1Q8,4,2,5,8,4,6,1,1,10
254,B000LJU5E6,4,3,5,2,2,11,2,3,3
255,B000LJW9V8,3,1,4,1,1,1,2,1,5
256,B000LPWFFM,5,5,5,1,1,1,3,32,4
257,B000M06LME,5,5,5,18,3,1,2,2,3
258,B000M1LI5I,3,1,5,2,1,2,1,4,4
259,B000M23P3U,4,2,5,2,1,3,2,2,4
260,B000M27FCW,3,1,5,1,1,2,14,9,9
261,B000M4KIME,4,1,5,1,3,1,1,6,75
262,B000M7RYFU,4,1,5,1,1,2,1,1,11
263,B000M92GLK,4,3,5,1,1,1,3,4,9
264,B000MD2UWG,4,1,5,1,2,1,2,11,11
265,B000MEFMAC,4,3,5,1,1,7,3,3,4
266,B000MI65S6,5,5,5,1,1,1,1,11,1
267,B000MPIX3E,3,1,5,1,1,3,2,3,13
268,B000MSDKHA,3,2,5,1,3,1,2,3,4
269,B000MTSOY8,2,1,5,1,1,3,1,1,4
270,B000N38FHE,4,3,5,1,4,6,11,3,4
271,B000N55192,3,3,5,1,1,1,3,1,5
272,B000N67GXK,4,2,5,1,1,1,6,2,9
273,B000N6AURO,3,2,5,32,2,1,1,3,3
274,B000NGJ37C,4,4,5,5,1,1,7,3,4
275,B000NK7ELU,5,5,5,2,1,2,4,2,1
276,B000NLOK7A,4,2,5,2,9,1,3,3,40
277,B000NNDZK6,4,3,5,1,1,2,1,4,5
278,B000NNZT1Y,5,5,5,6,3,2,1,1,4
279,B000NO7NC6,3,1,5,1,1,1,2,50,5
280,B000NVZE5M,4,1,5,4,1,17,1,1,18
281,B000NWDDEK,5,5,5,1,2,2,2,2,6
282,B000NWDEPI,3,1,5,2,1,1,3,5,4
283,B000NWH1MK,4,2,5,2,1,1,1,3,8
284,B000NWHSY6,4,4,5,1,1,1,12,4,15
285,B000NWJWJA,5,5,5,2,1,1,9,15,3
286,B000O5GMCG,4,1,5,2,1,1,10,32,22
287,B000O613WE,4,4,5,1,2,1,2,1,4
288,B000O7ERDU,5,5,5,1,1,1,2,1,3
289,B000O8TWE8,2,1,5,3,2,2,2,2,14
290,B000O8TWF2,4,3,5,1,2,1,4,12,4
291,B000O8WS7Q,3,1,5,1,1,2,1,7,4
292,B000OECBRC,4,3,5,9,1,1,2,3,3
293,B000OEGEPM,4,2,5,5,1,1,1,14,5
294,B000OJBR7W,4,1,5,1,1,1,1,4,5
295,B000OLFXB6,4,4,5,16,1,1,1,2,5
296,B000P0M21K,3,2,5,10,3,1,1,1,7
297,B000P4B7C6,3,1,5,1,1,1,1,4,12
298,B000P7LHE6,3,2,5,1,3,1,1,3,4
299,B000PB8CQI,4,1,5,1,1,1,4,2,73
300,B000PDKHFA,3,1,5,1,1,31,1,4,4
301,B000PDR5O6,3,1,5,1,1,10,1,2,5
302,B000PEOLAG,4,4,5,1,1,4,1,10,6
303,B000PERLGW,4,4,5,1,2,6,7,11,4
304,B000PGKHWK,3,1,5,1,1,2,2,5,11
305,B000PIHG9U,4,2,5,4,1,1,10,2,24
306,B000PUHVMU,4,1,5,1,1,1,1,3,50
307,B000PYHKQS,4,3,5,1,10,4,13,15,3
308,B000PYJ4NK,3,1,5,1,1,1,1,4,7
309,B000Q5J2M6,3,1,5,2,1,1,1,6,7
310,B000Q6R4MK,3,1,5,2,3,1,1,8,24
311,B000Q79IS2,4,2,5,1,1,1,1,10,10
312,B000Q9DWXM,4,3,5,1,1,1,2,20,6
313,B000QDPUBK,3,1,5,2,1,1,1,8,29
314,B000QGF8OQ,3,1,5,1,1,3,1,10,8
315,B000QGNRAS,3,1,5,1,1,1,1,2,4
316,B000QGQRX2,4,4,5,1,1,1,1,1,2
317,B000QJ4Y5W,1,1,3,4,2,1,2,1,5
318,B000QSPO3Y,5,5,5,3,1,4,2,1,4
319,B000R1C42E,3,1,5,3,3,3,1,4,8
320,B000R1C42O,3,1,5,1,3,1,1,7,5
321,B000RF4PNG,3,2,4,2,1,8,2,1,3
322,B000RGIMHU,5,5,5,11,1,8,2,2,4
323,B000RK91B2,3,1,5,1,1,1,3,3,5
324,B000ROGDNM,4,4,5,1,1,1,1,20,13
325,B000ROI682,4,3,5,2,1,1,6,6,16
326,B000ROK6O4,2,1,3,2,3,2,4,8,5
327,B000ROO28K,3,2,5,1,1,1,1,2,10
328,B000RQD4MS,4,4,5,1,2,2,1,16,3
329,B000RQQKNS,4,3,5,4,1,1,1,3,5
330,B000RUPEOA,3,1,5,4,3,1,2,8,38
331,B000RX1E8C,4,2,5,1,2,2,2,9,5
332,B000RZCI80,3,1,5,3,1,1,4,1,16
333,B000RZFNN2,3,1,5,1,5,1,1,3,19
334,B000S0B9ZC,3,1,5,1,1,1,2,5,21
335,B000S5VI8A,3,1,5,2,2,2,3,1,37
336,B000SAD7RA,3,1,5,4,3,1,5,1,22
337,B000SCLZNQ,5,5,5,1,1,1,4,5,10
338,B000SR19V4,4,2,5,1,6,2,1,3,4
339,B000SUX3TC,3,2,5,1,3,1,3,12,4
340,B000SZ9I0K,3,3,5,3,1,1,1,27,4
341,B000SZPSC2,2,1,5,3,3,1,2,3,6
342,B000T1RU3A,4,1,5,1,2,2,8,6,6
343,B000T4EPA8,3,1,5,5,1,1,1,10,16
344,B000TDBKKC,3,2,4,1,1,2,1,1,2
345,B000TGQHAW,2,1,5,2,1,1,2,1,6
346,B000TI6LLK,4,4,5,3,2,1,3,4,4
347,B000TLVMMA,2,1,5,1,7,1,1,5,11
348,B000TUWHF2,4,1,5,2,1,1,2,6,28
349,B000TUWHFM,4,1,5,1,2,6,1,4,11
350,B000U6QPFI,4,4,5,2,2,4,1,3,9
351,B000U7UB7U,4,4,5,1,3,1,3,1,4
352,B000UBNFT2,3,1,5,1,1,6,7,1,44
353,B000UBR3SG,4,2,5,2,4,1,2,10,6
354,B000UC158O,2,1,4,1,9,2,1,6,4
355,B000UDX7C0,3,1,5,1,2,3,8,3,16
356,B000UERGYE,4,1,5,2,1,1,1,4,14
357,B000UNPVN8,2,2,5,14,1,6,1,1,4
358,B000UWGN7C,4,4,5,2,1,1,1,3,6
359,B000UZVX92,3,1,5,1,1,7,5,1,13
360,B000VAPXBA,3,1,5,1,1,1,1,1,9
361,B000VBGCSW,5,5,5,2,1,2,4,2,1
362,B000VDATQ6,4,1,5,1,3,9,1,1,8
363,B000VE585C,3,1,5,2,1,2,1,43,7
364,B000VIELEC,4,4,5,1,1,1,3,27,13
365,B000VKUHWK,3,1,5,1,2,2,1,42,73
366,B000VMIEDW,3,1,5,1,4,5,1,3,5
367,B000VMLONO,4,4,5,1,1,2,1,2,9
368,B000VMPWFA,4,3,5,1,1,3,3,4,19
369,B000VSGU7I,3,2,5,5,1,2,3,1,3
370,B000VSHMF2,5,5,5,2,1,2,1,1,1
371,B000VTPCLC,5,5,5,1,2,1,8,4,4
372,B000VUGZIK,3,1,5,1,1,1,1,2,26
373,B000VUNWV8,3,3,3,1,2,2,1,2,1
374,B000VV9XZ6,3,1,5,1,2,1,70,10,15
375,B000VVDEJ2,3,1,5,1,1,2,1,1,8
376,B000VXATLG,3,1,5,1,1,2,8,3,10
377,B000VXHCPC,3,2,5,1,2,2,5,1,2
378,B000VZN9HA,3,2,4,2,1,3,1,2,3
379,B000W2ET30,1,1,2,2,1,2,1,1,2
380,B000W3OGMS,4,3,5,1,3,1,4,1,2
381,B000W3T39Y,4,3,5,2,1,1,1,1,12
382,B000W72MW0,4,3,5,5,2,3,1,1,9
383,B000W7XKH6,4,2,5,2,1,1,1,1,4
384,B000W8RP3K,4,1,5,5,1,1,1,1,7
385,B000W9PLRQ,5,5,5,18,3,1,1,2,1
386,B000W9R7CS,4,4,5,2,1,1,4,1,5
387,B000WA1ESK,5,5,5,1,5,2,3,1,1
388,B000WCQZBY,5,5,5,1,1,10,1,2,1
389,B000WEFU8Q,4,4,4,2,1,1,1,6,3
390,B000WHKMTK,5,5,5,2,3,1,1,1,2
391,B000WJ6LR0,2,1,5,4,1,2,1,4,10
392,B000WJ8P38,4,1,5,1,2,1,1,9,70
393,B000WKQ8LS,3,1,5,2,2,1,2,3,68
394,B000WKS8QG,3,1,5,2,3,3,2,2,89
395,B000WL7186,2,1,3,1,1,1,1,13,3
396,B000WLZTTO,4,1,5,6,2,1,4,1,4
397,B000WMTVQK,5,5,5,1,1,1,67,1,2
398,B000WPDI2K,4,3,5,1,1,2,22,11,7
399,B000WR85HQ,4,4,5,1,6,2,3,1,3
400,B000WWQJ88,3,3,5,1,1,1,1,3,3
401,B000WXSTQM,3,2,5,1,1,11,7,8,11
402,B000WYYUHI,1,1,1,1,1,1,1,2,1
403,B000X1HCEI,3,1,5,1,2,1,1,1,10
404,B000X1M784,3,3,3,3,1,4,2,2,1
405,B000X1OGGU,5,5,5,1,1,1,1,10,2
406,B000X1SUIU,4,4,4,3,1,3,1,3,1
407,B000X1W3GK,4,2,5,1,1,1,7,1,14
408,B000X1YZIY,4,3,5,1,5,1,2,1,2
409,B000X2BUBI,3,1,5,4,2,1,1,4,5
410,B000X2BUN6,5,5,5,1,1,2,4,2,1
411,B000X2FRHG,3,1,5,2,2,2,1,4,4
412,B000X2H8DM,3,1,5,20,1,4,2,1,3
413,B000X39TOM,2,2,2,1,1,1,2,2,1
414,B000X39UCS,5,5,5,1,1,1,1,3,1
415,B000X442K2,3,1,5,1,1,2,3,2,3
416,B000X459G8,5,5,5,1,1,1,1,5,1
417,B000X96G1K,3,1,5,5,3,2,1,1,2
418,B000X9AJ90,3,1,5,1,5,3,1,5,3
419,B000X9AM8I,2,1,4,5,1,1,1,4,2
420,B000X9GD40,4,2,5,1,2,1,2,16,4
421,B000X9IG8Q,4,4,5,2,2,1,3,10,2
422,B000XEEDR4,3,3,5,1,3,4,1,3,3
423,B000XHDA8Y,3,1,5,1,3,3,1,2,14
424,B000XKMCZI,4,2,5,3,1,3,4,2,8
425,B000XMSWZ0,4,4,5,2,1,2,3,1,2
426,B000XOK9VS,4,4,5,1,1,3,4,9,5
427,B000XQGJUG,3,1,5,6,1,1,1,5,24
428,B000XQOE5S,4,2,5,2,1,3,2,1,4
429,B000XSBMWY,2,1,5,1,2,7,10,2,8
430,B000XT3L7W,4,1,5,1,1,2,6,2,26
431,B000XUI0FO,4,4,5,1,10,4,1,1,2
432,B000Y18A8O,5,5,5,1,1,1,5,2,1
433,B000Y1L1MQ,3,1,5,4,1,1,2,5,38
434,B000Y1T8P8,5,5,5,1,1,1,3,7,1
435,B000Y1UPXM,3,3,4,1,1,8,8,2,2
436,B000Y2CQZQ,5,5,5,2,1,2,2,2,3
437,B000Y8D1N6,4,1,5,2,1,4,3,13,11
438,B000Y8D1RM,4,2,5,1,5,1,1,5,4
439,B000Y8GWZK,3,3,4,1,1,1,3,2,2
440,B000Y9KLVU,5,5,5,1,1,1,1,3,1
441,B000YDXF14,4,4,5,1,1,2,1,10,3
442,B000YHCEQM,3,1,5,1,1,4,2,1,19
443,B000YLMLWA,5,5,5,1,2,2,2,1,3
444,B000YT8BDA,4,4,4,1,2,4,2,9,1
445,B000YTTRXS,3,3,4,4,1,2,5,2,3
446,B000YUE340,5,5,5,4,2,1,2,2,1
447,B000YZ7IFG,3,3,5,2,1,1,2,2,3
448,B000YZAFW4,4,4,5,2,1,3,2,10,5
449,B000YZO40S,4,3,5,1,1,1,1,1,4
450,B000Z9PGFA,4,1,5,3,37,3,2,19,7
451,B000Z9W658,4,4,5,4,3,1,6,1,3
452,B000ZIM88O,2,2,2,1,1,1,7,1,1
453,B000ZQ6F5I,3,1,5,1,1,1,5,2,4
454,B000ZQ8HZO,4,4,5,7,1,1,12,1,4
455,B00104KPRS,3,2,5,2,1,1,4,3,4
456,B00104OHGS,3,1,4,1,2,1,1,1,3
457,B00104UI34,4,1,5,2,1,4,3,1,8
458,B00106CGN2,5,5,5,3,1,9,1,1,1
459,B0010B387U,4,4,5,1,8,3,2,1,8
460,B0010EBGV2,2,1,4,4,1,1,2,39,2
461,B0010K5AWW,4,1,5,3,1,1,2,3,6
462,B0010OQ44G,4,1,5,1,2,1,1,1,26
463,B0010OS7JG,5,5,5,3,1,2,2,14,10
464,B0010S8I7S,3,1,5,1,1,1,1,17,10
465,B0010S8S3C,1,1,1,2,2,1,1,3,1
466,B0010TDQX8,3,1,5,2,2,3,1,1,4
467,B0010VLYJE,5,5,5,1,1,1,8,9,2
468,B0010X9GSS,4,3,5,4,3,1,15,2,2
469,B001109OFU,5,5,5,1,3,2,1,1,9
470,B00110BAES,4,2,5,1,1,2,2,3,8
471,B00113XA6G,4,4,4,4,1,1,2,2,1
472,B00114SGDC,3,1,5,1,1,4,3,1,2
473,B00114UAVI,3,1,5,1,2,3,4,14,4
474,B00114UAX6,2,1,5,1,3,2,3,2,7
475,B00114VSZ0,5,5,5,8,11,1,2,1,1
476,B00117H09A,4,3,5,7,1,2,2,1,6
477,B00117OOD0,4,4,5,2,1,1,1,1,7
478,B0011EA68U,4,3,5,1,5,2,5,18,13
479,B0011FQR96,3,1,5,2,1,1,2,7,4
480,B0011FXCL2,3,3,3,6,4,1,1,4,1
481,B0011FXCVC,5,5,5,1,1,13,2,3,2
482,B0011GF0MA,3,1,5,3,2,1,5,1,22
