,News
10,"The National Highways Authority of India (NHAI) is looking to install solar lights along its roads in the State. On a trial basis, the project will be carried out on the Krishnagiri-Walajapet National Highway.
""Going solar will help the environment as it is clean energy. It would also cut down the heavy power bills of toll operators. Also, since it is to be connected to the grid, they will get some relief on the investment. Some contractors pay power bills of up to ₹20 lakh a month for road lighting, which could be brought down,” explained a senior official of the NHAI.
As a first step, the toll plazas will get solar lighting. “We have to study the system and see how it functions for a couple of months before we extend solar power to other places along the highway. The concessionaire has already provided lighting at places where there are human habitations,” said another official.
However, the only hitch in the proposal is the low rate of ₹2 per unit being offered by Tangedco.
“Now, commercial connections are charged ₹9 per unit. We are proposing to supply power to the grid. In such a case, a better rate is only fair. The State government should consider our request,” he said. Tangedco sources said they were only collecting the rates on the basis of what had been stipulated by the Tamil Nadu Electricity Regulatory Authority. “It is not our decision,"" the official said."
11,"Kottayam recorded its highest single-day spike of COVID-19 cases on Thursday with 343 persons testing positive for SARS-CoV-2
Of the new cases, 338 people, including 29 workers of an industrial unit at Mallikassery in Elikkulam panchayat, contracted the virus through local transmission. As many as 15% of the total cases are aged above 60.
Elikkulam panchayat recorded the highest number of cases with 32 testing positive, followed by Kottayam with 31 cases. Cases were also reported from Kumarakom 18, Erattupetta 16, Thiruvarppu 11, Bharanganam and Pampady 10 each. Changanassery, Aymanom, and Chembu reported 14 cases each.
With 130 recoveries during the day, the district has 3,008 active cases.
In view of the surge in cases, the Health Department has revised its treatment strategy by commencing COVID second-line treatment centres (SLTCs) and promoting home care for asymptomatic patients. At the same time, the rising caseload is stretching the treatment network as medium risk and high-risk patients are increasing proportionately.
Taking note of the situation, SLTCs were opened at Pala, Uzhavoor, and Changanassery by converting the First Line Treatment Centres there. The SLTCs are equipped to provide treatment for medium risk patients, while high-risk patients are being treated at the Government Medical College Hospital and the District General Hospital, which are designated as COVID specialty hospitals."
12,"The entrance examinations for admission to the various courses for the academic year 2020-21 at the University of Hyderabad (UoH) commenced on Thursday.
On the first day, more than 66% students wrote the examinations all over India. In Hyderabad, close to 7,077 students appeared for the examination at the College for Integrated Studies building of the university.
Two COVID infected students also gave the exam in the separate isolated exam hall arranged by the university, taking all precautions laid down. More than 34 differently abled students with disability also wrote the entrance examination on the first day with the help of scribes at the various centres.
A statement from UoH said that this year it received the highest number of 62,853 applications for admission to 2,456 seats in 132 post-graduate and research programmes at the university. Students are taking the entrance examination in 37 centres all over India with three centres in Hyderabad. The exams will conclude on September 26."
13,
14,"Minister for Animal Husbandry Udumalai K. Radhakrishnan called on the Union Minister of Animal Husbandry in New Delhi on Thursday and sought financial assistance of ₹1,140 crore towards improving the infrastructural requirements of the Department of Animal Husbandry in the State."
15,"The Opposition is politicising the visit of Chief Minister Y.S Jagan Mohan Reddy to Tirumala and has stooped to a new low by playing the religious card for its selfish goals, says Sajjala Ramakrishna Reddy, Adviser (Public Affairs)."
16,A ticket conductor with State-run RTC was arrested by the Vikarabad town police on Thursday for allegedly thrashing and abusing his wife and two minor daughters.
17,The police on Thursday foiled the attempts made by the BJP cadres to lay a siege to the Sub-Collector’s office here in protest against the derogatory comments allegedly made by Minister for Civil Supplies Kodali Sri Venkateswara Rao on Prime Minister Narendra Modi and Uttar Pradesh Chief Minister Yogi Adityanath.
18,The TTD has resolved to provide a cow to each temple under its newly conceived ‘Gudi Ko Go Matha’ project.
19,"Chief Minister Y.S. Jagan Mohan Reddy on Thursday took part in the ‘Sundarakanda parayanam’ be organised by the TTD at the Nada Neerajana Mandapam located opposite the main temple complex here.
Mr. Jagan Mohan Reddy, accompanied by his Karnataka counterpart B.S. Yediyurappa, took part in the hour-long parayanam, where the pundits not only recited the verses from the sacred religious text but also gave an in-depth narration of their meaning.
Spiritual programmes
The parayanam is a part of the initiative of the TTD, which has been organising a series of such spiritual programmes for the past 168 days invoking the blessings of the Lord to save humanity from the clutches of COVID-19.
Earlier, both the Chief Ministers offered their prayers at the hill temple.
On their arrival at the main temple complex, they were traditionally received by the priests and top TTD officials with temple honours and led into the sanctum sanctorum, where they stood in front of the main deity and offered their prayers. They also visited the sub-temples while going round the temple complex.
After the customary ‘Vedasirvachanams’, the authorities honoured both the Chief Ministers with silk ‘vastrams’ besides presented them a memento and ‘laddu prasadam’.
Later, both the Chief Ministers drove to the Karnataka State Charities, where they formally laid the foundation stone for the construction of a massive choultry. The Karnataka government had entered into an agreement with the TTD for the construction of a choultry in the 7.05 acres of land already leased out to it.
In a PowerPoint presentation, Karnataka Endowments Secretary Rohini Sindhuri not only explained the relations her government shared with the TTD but also dealt at length the design of the project taken up at a whopping cost of ₹200 crore.
After spending some time with Mr. Yediyurappa and his family members at the Padmavati guest house, Mr. Jagan Mohan Reddy motored down to Tirupati and left for Vijayawada."
20,"The cable-stayed bridge on Durgam Cheruvu is set to be launched on September 25, through the hands of Minister for Municipal Administration and Urban Development K. T. Rama Rao. The iconic structure, together with the flyover on Road No. 45, Jubilee Hills, will be inaugurated by the Minister simultaneously, a note by GHMC said.
The launch, scheduled for September 19 initially, had to be postponed, owing to torrential downpour continuously for four to five days which inundated several parts of the city.
The bridge and the flyover were expected to shorten the distance between Jubilee Hills and Hitec City/Gachibowli, and reduce traffic congestion on Jubilee Hills Road No. 36 and Madhapur main road."
21,"West Bengal Chief Minister Mamata Banerjee on Thursday announced that clubs organising Durga Puja in the State would get financial assistance of ₹50,000 each."
22,"Hyderabad Runners is organising its 23rd webinar from 7.30 p.m. on Saturday. The weekly webinar series, labelled, Beyond the Track, will be addressed by Sardar Vallabhbhai Patel National Police Academy director Atul Karwal. An ultra-marathoner and triathlete, he will speak on the topic, fitness, valor, service: lead by example."
23,"Seven Indian Police Service officers from various States undergoing Mid-Career Training Programme (MCTP) Phase-III at Sardar Vallabhbhai Patel National Police Academy (SVPNPA) tested positive for coronavirus.
As they were asymptomatic, the administration isolated them in special facilities on the campus. The primary contact of the victims were also identified and they too were isolated.
Confirming this to The Hindu, NPA Director Atul Karwal said 79 IPS officials from across the country, with seven to nine years of service, came to their alma mater in the second week of September, to prepare themselves for the next level of competency and honing up skills with a global perspective.
“They were quarantined for 10 days after coming to the campus from their cadre. However, online training started on September 14, as per schedule, which they were attending from their accommodations,” he said.
Last weekend, polymerase chain reaction (PCR) and antibody tests were conducted on the quarantined officials, and results were out on Tuesday. Of them, seven tested positive.
“Today, we have started regular training for those who tested negative. Classes are being conducted outdoors as a precautionary measure,” the official said.
“We are facing the pandemic and police officers are the frontline force. All of them have worked as COVID warriors in their States, and for them the chance of infection was obviously high,” Mr. Karwal said, adding that some might have contracted the virus during their journey to Hyderabad. The infected officials were allowed to attend classes online.
He said the NPA could not suspend the training programmes as its alumni were battling from the front. “We are here to set an example,” he said.
Earlier this month, over 80 staff members at the academy tested positive for COVID-19. Most of them are non-gazetted officials and live in Site-A, located opposite the main campus. They are mainly attached to the maintenance and administrative wings."
24,"After a win and a loss in its first two matches, Chennai Super Kings takes on Delhi Capitals in its third game in seven days on Friday in Dubai, and head coach Stephen Fleming said the team is still finding its feet, figuring out the right combination."
25,The repeated COVID-19 episodes reported in a man from Thrissur is posing a diagnostic challenge for health officials.
26,"Malkajgiri Assistant Commissioner of Police Y. Narasimha Reddy, against whom Anti-Corruption Bureau officials registered a corruption case, was lodged in the Chanchalguda central prison on Thursday."
27,"An ambulance with COVID testing unit was gifted to IT Minister K.T. Rama Rao by TRS leader and Malkajgiri parliamentary constituency in-charge Marri Rajashekar Reddy.
The ambulance was gifted in response to the call of “Gift a Smile” given by Mr. KTR, said Mr. Reddy, adding that he was happy to be part of the humanitarian service.
Mr. KTR officially launched it to be used for public service. Cantonment Board members and senior leaders were present on the occasion."
28,"The toll due to COVID-19 rose to 870 in south coastal Andhra Pradesh with six more patients succumbing to the virus in Nellore and Prakasam districts in the last 24 hours.
Five patients died in Prakasam district, taking the toll to 437, while the Nellore district reported one death, taking the count to 433, according to a health bulletin released by the State government on Thursday night.
Infections outnumber recoveries
However, the new infections outnumbered the number of patients discharged from various COVID-19 facilities in the two districts during the last 24 hours by 185 for the first time during this week. The recovery count had been more than the single-day spike earlier this week.
As many as 1,332 persons tested positive for the virus, while 1,147 patients recovered in the two districts in the last 24 hours. With this, the tally has gone up to 95,773, including 51,134 in Nellore district.
Prakasam district reported a single-day spike of 927 cases in the last 24 hours when compared to 425 recorded on the previous day. It was the third highest incidence of new infections on a single day in the State.
With the daily recovery count of 765, the number of active cases stood at 10,639. Till date, 33,561 patients have recovered from the infection.
The Nellore district reported 405 new cases while 382 patients recovered from the infection during the period, taking the active cases to less than 4,000. Till date, 47,142 patients have been recovered of the infection.
Virtual Lok Adalat
Meanwhile, the Prakasam District Legal Services Authority has decided to organise the Lok Adalat on Saturday through video link, in view of the spread of coronavirus.
DLSA Chairperson and Principal District Judge P.Venkata Jyothirmayi held a virtual meeting with lawyers, police and insurance firms to identify the cases with scope for settlement."
29,Candidates who appeared for the Electrical and Mechanical Management Training exam of the Singareni Collieries Company Limited (SCCL) have objected to the release of results “secretly” when the investigation into the exam scam was still on.
30,"The State recorded 2,176 cases on Wednesday (September 23), taking the total number of cases to 1,79,246.
Eight persons died of COVID on Wednesday, spiking the total number of fatalities to 1,070.
While as many as 55,318 persons were tested, the reports of 1,257 were awaited. Of those who were tested, 24,340 were primary contacts and 6,638 secondary contacts.
A total of 26,84,215 persons in the State were tested till Wednesday.
The trend of areas under the Greater Hyderabad Municipal Corporation (GHMC) limits recording the highest number of cases in Telangana continued with as many as 308 persons testing positive. This is a marginal dip from the 321 as recorded a day before.
Meanwhile, Sangareddy district recorded 168 cases, followed by Medchal Malkajgiri with 151, Nalgonda with 136, Karimnagar with 120, Siddipet with 95 and Warangal Urban with 77 cases.
The medical bulletin stated that those between the age group of 21-30 tested positive the most (24.24%) compared to other age groups.
As many as 15.33% men and 8.91% women tested positive. This was followed by the 31-40 age group (23.51%) of which 15.54% men and 7.97% women tested positive."
31,
32,"The South Central Railway (SCR) has been carrying 35,420 passengers daily through the 12 special trains to various destinations across the country and also through 16 more pairs of trains passing through the zone. Before the pandemic, the passenger count had been to the tune of 10.5 lakh a day!"
33,"With a new high of 6,324 coronavirus (COVID-19) cases on Thursday in Kerala, the pandemic’s course appeared to match projections of a peak in mid-September to the first week of October.
The steep rise was evident from the jump of over 1,000 cases in a day. The State also hiked testing in a 24-hour-period from 51,200 samples on Wednesday to 54,989 on Thursday.
Cumulative cases stood at 1,54,456, and patients treated in hospitals at 45,919. Of these, 371 patients were critically ill and in ICUs, 96 of them on ventilator support.
The State’s toll was also surging, at 613 fatalities, with 21 more deaths added to the toll on Thursday. These occurred between September 4 and 22. Thiruvananthapuram accounted for 11 deaths, Alapuzha seven, while one death each was reported from Ernakulam, Thrissur and Kozhikode.
Nearly 96% of new cases were locally acquired infections. The sudden rise in cases put Kozhikode, with 883 new cases, at the top among districts, followed by Thiruvananthapuram with 875 cases, Malappuram 763, Ernakulam 590, Thrissur 474, Alapuzha 453, Kollam 440, Kannur 406, Palakkad 353, Kottayam 341, Kasaragod 300, Pathanamthitta 189, Idukki 151 and Wayanad 106. Thiruvananthapuram had the maximum active patients at 8,446. Kozhikode had 4,927 and Ernakulam, 4,691 patients.
Except for Idukki and Wayanad, all other districts had active cases in four-digits.
Andhra Pradesh’s tally exceeded 6.5 lakh on Thursday with 7,855 new infections and 52 fresh deaths.
Daily testing level stood at 76,000 samples. East Godavari district reported 1,095 new cases and four deaths, followed by West Godavari (992 cases and 3 deaths), Prakasam (927 and 5), Chittoor (902 and 8), Guntur (551 and 6), Kadapa (545 and 3), Anantapur (497 and 6), Srikakulam (461 and 1), Visakhapatnam (425 and 5), Nellore (405 and 1), Vizianagaram (384 and 2), Krishna (346 and 5) and Kurnool (325 and 3).
Telangana recorded 2,176 cases on Wednesday and eight more people died. Tests covered 55,318 samples. Greater Hyderabad was at the top again at 308. Sangareddy had 168 cases, Medchal Malkajgiri 151, Nalgonda 136, Karimnagar 120, Siddipet 95 and Warangal Urban 77 cases.
Karnataka on Thursday reported 7,710 cases and 65 deaths. Cases were marginally higher than on Wednesday, but the numbers were lower than the preceding 10-day average. This was attributed to a protest by Karnataka health workers, which hit surveillance, testing and reporting.
Fresh tests stood at 64,164, including 23,232 rapid antigen tests. Bengaluru Urban saw a record 4,192 cases.
(With inputs from Vijayawada, Hyderabad and Bengaluru bureaus)"
34,"The Tata Institute of Fundamental Research (TIFR) Hyderabad has developed a low-cost rechargeable N 95 mask with an increased efficacy.
This has been achieved by using graphene oxide-based paint on one of the layers of the mask.
According to Tata Institute of Fundamental Research, regular N 95 masks filter particles which are 0.3 microns in size with an efficiency of 95%.
“While the fibres of the mask pose as a mechanical barrier, an electrostatic charge on the surface of the mask traps particles. With usage, the electrostatic charge on the N95 masks erodes away, thus, decreasing the filtering efficiency of the mask. To address this bottleneck, researchers in TIFR Hyderabad have developed a low-cost rechargeable N95 mask,” a statement from TIFR reads.
The mask is reusable after standard decontamination procedures without losing its efficiency. It can be recharged with small movements such as the movement of the jaw.
The research was led by Dr. G. Rajalakshmi and Prof. T.N. Narayan along with graduate students Stelbin Peter Figerez and Sudeshna Patra. The researchers have also developed a device for testing masks for quality."
35,"Benchmark stock indices slumped on Thursday taking a cue from the sell-off witnessed in the U.S. and European markets. The diversion of funds from secondary market to the primary market by investors seeking to bid in multiple Initial Public Offerings (IPOs) also added to the meltdown, analysts said, adding that the market would remain weak in the days ahead."
36,"Mazagon Dock Shipbuilders Ltd., a defence PSU, has announced opening of its initial public offering for subscription on September 29, with a price band of ₹135 – ₹145 per equity share."
37,"The Confederation of Indian Industry (CII) has written to the RBI seeking changes to the central bank’s recent circular on current accounts. The rules, in their current form, may not only lead to a manifold increase in operational workflows, inefficiencies, delays, and costs for delivery of products, but also threaten the survival of smaller banks, CII said."
